PROGETTI,AUTORI,DESCRIZIONI,PARTNER,CATEGORIA,ANNO
I LOVE MY LAND,"MARCO DELL'ABATE, ALESSANDRO CACCURI, RODOLFO SURICO, IRA GRÜNBERGER, BACO GIOVANNI CRISTINO","Lorèm ipsèm, uè frate, sòle parole a casë, ma vanne bbòne pe rièmpie nu spazie quanne nce stà nudd da scrìve. Stu fatte ca ce stè scrivènne accussì, pare serie, ma iè pe fà vedé cum jèsce quacche cosë scrìttë.

Quanne ié fatte nu testë, nun vuè che ce stà u biancu — e allore ti mettë stu cosë, ca sembë latine, ma iè tutt quande n’pòvere frasë mischiate, senz’ u significate.

Ma ié bbòne pe quacche progette grafiche, o quanne vuè vedé cume vene quacche paggine, prima de scrivë davverë. Lorèm ipsëm, sì, ma nù sapìm manco ce vol dì!",KABK,INSTALLAZIONE,2024
FOR REAL NOT FOR ART,"MARCO DELL'ABATE, ALESSANDRO CACCURI, RODOLFO SURICO",,,PERFORMANCE,2024
INCANTO (FULL MOON),"RODOLFO SURICO, ALESSANDRO CACCURI",,GOODMESH CONTEST,PERFORMANCE,2023
BLOOD OF THAT LAND,MARCO DELL'ABATE,,,INSTALLAZIONE,2024
INFINITE HOTEL,"MARCO DELL'ABATE, GIOVANNI ABBATEPAOLO, ALESSANDRO MIRACAPILLO",,,INSTALLAZIONE,2024
HOTEL,"ALESSANDRO CACCURI, JONNI BONGALLINO",,,INSTALLAZIONE,2024
IO ODIO GLI INDIFFERENTI,"ALESSANDRO CACCURI, JONNI BONGALLINO, GIOVANNI ABBATEPAOLO, ALESSANDRO MIRACAPILLO",,,"INSTALLAZIONE, PERFORMANCE",2024
CON.DIVISIONE 9,"ALESSANDRO CACCURI, RODOLFO SURICO, GIOVANNI ABBATEPAOLO",,,"GRAPHIC DESIGN, EXHIBIT",2020
CON.DIVISIONE 8,"ALESSANDRO CACCURI, RODOLFO SURICO",,,"GRAPHIC DESIGN, EXHIBIT",2019
CON.DIVISIONE 10,"ALESSANDRO CACCURI, RODOLFO SURICO, GIOVANNI ABBATEPAOLO",,SOS - OFFICINA DELL'ARTE APS,"GRAPHIC DESIGN, EVENT PROD",2021
PSICO.PATOS EXHIBITION,"ALESSANDRO CACCURI, RODOLFO SURICO, MARCO DELL'ABATE, JONNI BONGALLINO",,,"GRAPHIC DESIGN, EXHIBIT",2022
FUOCHI X MCZEE,"ALESSANDRO CACCURI, RODOLFO SURICO, BACO GIOVANNI CRISTINO",,,GRAPHIC DESIGN,2022
SISTEMA NEXUS,"ALESSANDRO CACCURI, RODOLFO SURICO",,,"GRAPHIC DESIGN, STRATEGIA, EVENT PROD",2022 - ONGOING
"MAKING, LAYOUT, RITMI, SEQUENZE","ALESSANDRO CACCURI, RODOLFO SURICO, FABIO CACCURI",,OFFICINA DELL'ARTE APS,DIDATTICA,2022
FOCAREDIO,"ALESSANDRO CACCURI, RODOLFO SURICO, BACO GIOVANNI CRISTINO, FABIO CACCURI",,,GRAPHIC DESIGN,2021
CON.DIVISIONE 11,"ALESSANDRO CACCURI, RODOLFO SURICO",,,"GRAPHIC DESIGN, EXHIBIT",2022
